user_id,stage,timestamp,channel,device,plan,stage_order
U00001,signup,2024-02-02 00:00:00.000000,organic,desktop,freemium,0
U00002,signup,2024-10-09 00:00:00.000000,paid_search,mobile,free_trial,0
U00002,email_verified,2024-10-09 00:06:00.000000,paid_search,mobile,free_trial,1
U00003,signup,2024-08-26 00:00:00.000000,referral,desktop,free_trial,0
U00003,email_verified,2024-08-26 02:26:35.685470,referral,desktop,free_trial,1
U00003,profile_completed,2024-08-26 06:54:43.279572,referral,desktop,free_trial,2
U00003,first_feature_used,2024-08-29 17:47:02.139033,referral,desktop,free_trial,3
U00004,signup,2024-06-09 00:00:00.000000,referral,desktop,freemium,0
U00005,signup,2024-06-07 00:00:00.000000,organic,desktop,freemium,0
U00005,email_verified,2024-06-07 00:06:00.000000,organic,desktop,freemium,1
U00005,profile_completed,2024-06-07 02:25:07.571247,organic,desktop,freemium,2
U00005,first_feature_used,2024-06-09 06:31:29.318797,organic,desktop,freemium,3
U00006,signup,2024-11-09 00:00:00.000000,organic,mobile,free_trial,0
U00006,email_verified,2024-11-09 03:34:28.221630,organic,mobile,free_trial,1
U00007,signup,2024-02-01 00:00:00.000000,referral,tablet,freemium,0
U00007,email_verified,2024-02-01 01:13:56.749385,referral,tablet,freemium,1
U00008,signup,2024-09-11 00:00:00.000000,referral,mobile,free_trial,0
U00008,email_verified,2024-09-11 02:27:48.385022,referral,mobile,free_trial,1
U00009,signup,2024-03-14 00:00:00.000000,paid_search,mobile,freemium,0
U00009,email_verified,2024-03-14 00:06:00.000000,paid_search,mobile,freemium,1
U00009,profile_completed,2024-03-14 06:51:19.838905,paid_search,mobile,freemium,2
U00009,first_feature_used,2024-03-19 02:41:15.744029,paid_search,mobile,freemium,3
U00010,signup,2024-02-04 00:00:00.000000,paid_search,desktop,freemium,0
U00010,email_verified,2024-02-04 00:06:00.000000,paid_search,desktop,freemium,1
U00010,profile_completed,2024-02-04 06:09:16.038006,paid_search,desktop,freemium,2
U00010,first_feature_used,2024-02-04 13:57:40.233770,paid_search,desktop,freemium,3
U00010,team_invited,2024-02-10 22:51:59.673312,paid_search,desktop,freemium,4
U00010,paid_conversion,2024-02-11 21:41:08.704329,paid_search,desktop,freemium,5
U00011,signup,2024-07-11 00:00:00.000000,paid_search,mobile,free_trial,0
U00011,email_verified,2024-07-11 00:51:18.514859,paid_search,mobile,free_trial,1
U00012,signup,2024-12-22 00:00:00.000000,organic,desktop,free_trial,0
U00012,email_verified,2024-12-22 00:06:00.000000,organic,desktop,free_trial,1
U00012,profile_completed,2024-12-22 09:47:13.128708,organic,desktop,free_trial,2
U00013,signup,2024-09-25 00:00:00.000000,organic,desktop,free_trial,0
U00013,email_verified,2024-09-25 00:19:15.891219,organic,desktop,free_trial,1
U00014,signup,2024-10-04 00:00:00.000000,organic,mobile,freemium,0
U00014,email_verified,2024-10-04 00:06:00.000000,organic,mobile,freemium,1
U00015,signup,2024-09-18 00:00:00.000000,organic,mobile,free_trial,0
U00016,signup,2024-10-13 00:00:00.000000,referral,desktop,freemium,0
U00017,signup,2024-07-06 00:00:00.000000,organic,mobile,free_trial,0
U00017,email_verified,2024-07-06 00:06:00.000000,organic,mobile,free_trial,1
U00017,profile_completed,2024-07-06 04:16:12.593142,organic,mobile,free_trial,2
U00018,signup,2024-02-16 00:00:00.000000,organic,mobile,free_trial,0
U00018,email_verified,2024-02-16 00:32:58.996192,organic,mobile,free_trial,1
U00019,signup,2024-11-02 00:00:00.000000,paid_search,desktop,free_trial,0
U00019,email_verified,2024-11-02 00:06:00.000000,paid_search,desktop,free_trial,1
U00019,profile_completed,2024-11-02 11:12:56.443507,paid_search,desktop,free_trial,2
U00020,signup,2024-06-13 00:00:00.000000,organic,desktop,free_trial,0
U00020,email_verified,2024-06-13 00:06:00.000000,organic,desktop,free_trial,1
U00021,signup,2024-07-01 00:00:00.000000,organic,desktop,free_trial,0
U00021,email_verified,2024-07-01 00:06:00.000000,organic,desktop,free_trial,1
U00021,profile_completed,2024-07-02 06:29:34.639109,organic,desktop,free_trial,2
U00022,signup,2024-05-15 00:00:00.000000,paid_search,desktop,freemium,0
U00022,email_verified,2024-05-15 00:06:00.000000,paid_search,desktop,freemium,1
U00022,profile_completed,2024-05-15 00:23:37.010027,paid_search,desktop,freemium,2
U00023,signup,2024-03-07 00:00:00.000000,organic,desktop,freemium,0
U00024,signup,2024-12-04 00:00:00.000000,paid_search,desktop,free_trial,0
U00024,email_verified,2024-12-04 01:18:47.888094,paid_search,desktop,free_trial,1
U00024,profile_completed,2024-12-04 01:24:47.888094,paid_search,desktop,free_trial,2
U00024,first_feature_used,2024-12-04 01:30:47.888094,paid_search,desktop,free_trial,3
U00025,signup,2024-10-12 00:00:00.000000,referral,desktop,freemium,0
U00025,email_verified,2024-10-12 01:22:01.701411,referral,desktop,freemium,1
U00026,signup,2024-08-23 00:00:00.000000,organic,desktop,free_trial,0
U00026,email_verified,2024-08-23 00:06:00.000000,organic,desktop,free_trial,1
U00027,signup,2024-05-26 00:00:00.000000,referral,mobile,freemium,0
U00028,signup,2024-10-27 00:00:00.000000,referral,mobile,free_trial,0
U00028,email_verified,2024-10-27 00:06:00.000000,referral,mobile,free_trial,1
U00028,profile_completed,2024-10-27 13:56:37.470684,referral,mobile,free_trial,2
U00029,signup,2024-07-18 00:00:00.000000,referral,desktop,freemium,0
U00030,signup,2024-06-10 00:00:00.000000,paid_search,desktop,free_trial,0
U00030,email_verified,2024-06-10 00:06:00.000000,paid_search,desktop,free_trial,1
U00030,profile_completed,2024-06-10 23:42:41.779332,paid_search,desktop,free_trial,2
U00030,first_feature_used,2024-06-10 23:55:53.119096,paid_search,desktop,free_trial,3
U00031,signup,2024-06-13 00:00:00.000000,paid_search,desktop,free_trial,0
U00031,email_verified,2024-06-13 00:19:36.548880,paid_search,desktop,free_trial,1
U00031,profile_completed,2024-06-13 13:26:00.181189,paid_search,desktop,free_trial,2
U00031,first_feature_used,2024-06-13 13:32:00.181189,paid_search,desktop,free_trial,3
U00032,signup,2024-03-23 00:00:00.000000,paid_search,desktop,freemium,0
U00032,email_verified,2024-03-23 00:06:00.000000,paid_search,desktop,freemium,1
U00032,profile_completed,2024-03-23 00:12:00.000000,paid_search,desktop,freemium,2
U00032,first_feature_used,2024-03-23 00:18:00.000000,paid_search,desktop,freemium,3
U00033,signup,2024-02-03 00:00:00.000000,paid_search,desktop,free_trial,0
U00034,signup,2024-07-21 00:00:00.000000,organic,desktop,free_trial,0
U00034,email_verified,2024-07-21 00:06:00.000000,organic,desktop,free_trial,1
U00034,profile_completed,2024-07-22 00:42:04.378241,organic,desktop,free_trial,2
U00034,first_feature_used,2024-07-23 05:39:00.294418,organic,desktop,free_trial,3
U00035,signup,2024-11-20 00:00:00.000000,referral,desktop,free_trial,0
U00035,email_verified,2024-11-20 01:38:12.190271,referral,desktop,free_trial,1
U00035,profile_completed,2024-11-20 01:44:12.190271,referral,desktop,free_trial,2
U00035,first_feature_used,2024-11-21 03:30:30.901921,referral,desktop,free_trial,3
U00036,signup,2024-01-24 00:00:00.000000,paid_search,tablet,freemium,0
U00036,email_verified,2024-01-24 02:16:47.599980,paid_search,tablet,freemium,1
U00036,profile_completed,2024-01-24 02:22:47.599980,paid_search,tablet,freemium,2
U00036,first_feature_used,2024-01-24 02:28:47.599980,paid_search,tablet,freemium,3
U00037,signup,2024-11-09 00:00:00.000000,paid_search,desktop,free_trial,0
U00037,email_verified,2024-11-09 00:06:00.000000,paid_search,desktop,free_trial,1
U00037,profile_completed,2024-11-09 12:58:24.204687,paid_search,desktop,free_trial,2
U00037,first_feature_used,2024-11-09 13:04:24.204687,paid_search,desktop,free_trial,3
U00038,signup,2024-10-29 00:00:00.000000,organic,mobile,free_trial,0
U00038,email_verified,2024-10-29 03:56:34.894381,organic,mobile,free_trial,1
U00039,signup,2024-04-11 00:00:00.000000,organic,desktop,freemium,0
