user_id,signup_date,channel,device,plan,email_verified,first_feature_used,paid_conversion,profile_completed,signup,team_invited,furthest_stage,furthest_stage_order,converted,hours_to_verify,hours_to_profile,hours_to_activate,hours_to_team,hours_to_paid,hours_to_convert
U00001,2024-02-02,organic,desktop,freemium,,,,,2024-02-02,,signup,0,0,,,,,,
U00002,2024-10-09,paid_search,mobile,free_trial,2024-10-09 00:06:00.000000,,,,2024-10-09,,email_verified,1,0,0.1,,,,,
U00003,2024-08-26,referral,desktop,free_trial,2024-08-26 02:26:35.685470,2024-08-29 17:47:02.139033,,2024-08-26 06:54:43.279572,2024-08-26,,first_feature_used,3,0,2.443245963888889,4.4687761394444445,82.87190540583333,,,
U00004,2024-06-09,referral,desktop,freemium,,,,,2024-06-09,,signup,0,0,,,,,,
U00005,2024-06-07,organic,desktop,freemium,2024-06-07 00:06:00.000000,2024-06-09 06:31:29.318797,,2024-06-07 02:25:07.571247,2024-06-07,,first_feature_used,3,0,0.1,2.318769790833333,52.10604098611111,,,
U00006,2024-11-09,organic,mobile,free_trial,2024-11-09 03:34:28.221630,,,,2024-11-09,,email_verified,1,0,3.5745060083333335,,,,,
U00007,2024-02-01,referral,tablet,freemium,2024-02-01 01:13:56.749385,,,,2024-02-01,,email_verified,1,0,1.2324303847222222,,,,,
U00008,2024-09-11,referral,mobile,free_trial,2024-09-11 02:27:48.385022,,,,2024-09-11,,email_verified,1,0,2.463440283888889,,,,,
U00009,2024-03-14,paid_search,mobile,freemium,2024-03-14 00:06:00.000000,2024-03-19 02:41:15.744029,,2024-03-14 06:51:19.838905,2024-03-14,,first_feature_used,3,0,0.1,6.755510806944445,115.83219586777777,,,
U00010,2024-02-04,paid_search,desktop,freemium,2024-02-04 00:06:00.000000,2024-02-04 13:57:40.233770,2024-02-11 21:41:08.704329,2024-02-04 06:09:16.038006,2024-02-04,2024-02-10 22:51:59.673312,paid_conversion,5,1,0.1,6.054455001666667,7.806721045555555,152.90539987277776,22.8191752825,189.6857512025
U00011,2024-07-11,paid_search,mobile,free_trial,2024-07-11 00:51:18.514859,,,,2024-07-11,,email_verified,1,0,0.8551430163888889,,,,,
U00012,2024-12-22,organic,desktop,free_trial,2024-12-22 00:06:00.000000,,,2024-12-22 09:47:13.128708,2024-12-22,,profile_completed,2,0,0.1,9.686980196666665,,,,
U00013,2024-09-25,organic,desktop,free_trial,2024-09-25 00:19:15.891219,,,,2024-09-25,,email_verified,1,0,0.3210808941666667,,,,,
U00014,2024-10-04,organic,mobile,freemium,2024-10-04 00:06:00.000000,,,,2024-10-04,,email_verified,1,0,0.1,,,,,
U00015,2024-09-18,organic,mobile,free_trial,,,,,2024-09-18,,signup,0,0,,,,,,
U00016,2024-10-13,referral,desktop,freemium,,,,,2024-10-13,,signup,0,0,,,,,,
U00017,2024-07-06,organic,mobile,free_trial,2024-07-06 00:06:00.000000,,,2024-07-06 04:16:12.593142,2024-07-06,,profile_completed,2,0,0.1,4.170164761666666,,,,
U00018,2024-02-16,organic,mobile,free_trial,2024-02-16 00:32:58.996192,,,,2024-02-16,,email_verified,1,0,0.5497211644444444,,,,,
U00019,2024-11-02,paid_search,desktop,free_trial,2024-11-02 00:06:00.000000,,,2024-11-02 11:12:56.443507,2024-11-02,,profile_completed,2,0,0.1,11.115678751944445,,,,
U00020,2024-06-13,organic,desktop,free_trial,2024-06-13 00:06:00.000000,,,,2024-06-13,,email_verified,1,0,0.1,,,,,
U00021,2024-07-01,organic,desktop,free_trial,2024-07-01 00:06:00.000000,,,2024-07-02 06:29:34.639109,2024-07-01,,profile_completed,2,0,0.1,30.392955308055555,,,,
U00022,2024-05-15,paid_search,desktop,freemium,2024-05-15 00:06:00.000000,,,2024-05-15 00:23:37.010027,2024-05-15,,profile_completed,2,0,0.1,0.2936138963888889,,,,
U00023,2024-03-07,organic,desktop,freemium,,,,,2024-03-07,,signup,0,0,,,,,,
U00024,2024-12-04,paid_search,desktop,free_trial,2024-12-04 01:18:47.888094,2024-12-04 01:30:47.888094,,2024-12-04 01:24:47.888094,2024-12-04,,first_feature_used,3,0,1.3133022483333332,0.1,0.1,,,
U00025,2024-10-12,referral,desktop,freemium,2024-10-12 01:22:01.701411,,,,2024-10-12,,email_verified,1,0,1.3671392808333334,,,,,
U00026,2024-08-23,organic,desktop,free_trial,2024-08-23 00:06:00.000000,,,,2024-08-23,,email_verified,1,0,0.1,,,,,
U00027,2024-05-26,referral,mobile,freemium,,,,,2024-05-26,,signup,0,0,,,,,,
U00028,2024-10-27,referral,mobile,free_trial,2024-10-27 00:06:00.000000,,,2024-10-27 13:56:37.470684,2024-10-27,,profile_completed,2,0,0.1,13.843741856666666,,,,
U00029,2024-07-18,referral,desktop,freemium,,,,,2024-07-18,,signup,0,0,,,,,,
U00030,2024-06-10,paid_search,desktop,free_trial,2024-06-10 00:06:00.000000,2024-06-10 23:55:53.119096,,2024-06-10 23:42:41.779332,2024-06-10,,first_feature_used,3,0,0.1,23.611605370000003,0.2198166011111111,,,
U00031,2024-06-13,paid_search,desktop,free_trial,2024-06-13 00:19:36.548880,2024-06-13 13:32:00.181189,,2024-06-13 13:26:00.181189,2024-06-13,,first_feature_used,3,0,0.32681913333333334,13.106564530277778,0.1,,,
U00032,2024-03-23,paid_search,desktop,freemium,2024-03-23 00:06:00.000000,2024-03-23 00:18:00.000000,,2024-03-23 00:12:00.000000,2024-03-23,,first_feature_used,3,0,0.1,0.1,0.1,,,
U00033,2024-02-03,paid_search,desktop,free_trial,,,,,2024-02-03,,signup,0,0,,,,,,
U00034,2024-07-21,organic,desktop,free_trial,2024-07-21 00:06:00.000000,2024-07-23 05:39:00.294418,,2024-07-22 00:42:04.378241,2024-07-21,,first_feature_used,3,0,0.1,24.601216178055555,28.948865604722226,,,
U00035,2024-11-20,referral,desktop,free_trial,2024-11-20 01:38:12.190271,2024-11-21 03:30:30.901921,,2024-11-20 01:44:12.190271,2024-11-20,,first_feature_used,3,0,1.6367195197222224,0.1,25.77186434722222,,,
U00036,2024-01-24,paid_search,tablet,freemium,2024-01-24 02:16:47.599980,2024-01-24 02:28:47.599980,,2024-01-24 02:22:47.599980,2024-01-24,,first_feature_used,3,0,2.2798888833333337,0.1,0.1,,,
U00037,2024-11-09,paid_search,desktop,free_trial,2024-11-09 00:06:00.000000,2024-11-09 13:04:24.204687,,2024-11-09 12:58:24.204687,2024-11-09,,first_feature_used,3,0,0.1,12.873390190833332,0.1,,,
U00038,2024-10-29,organic,mobile,free_trial,2024-10-29 03:56:34.894381,,,,2024-10-29,,email_verified,1,0,3.9430262169444443,,,,,
U00039,2024-04-11,organic,desktop,freemium,,,,,2024-04-11,,signup,0,0,,,,,,
U00040,2024-08-18,paid_search,desktop,freemium,2024-08-18 00:06:00.000000,,,,2024-08-18,,email_verified,1,0,0.1,,,,,
U00041,2024-03-01,paid_search,tablet,free_trial,2024-03-01 02:09:40.389760,2024-03-02 00:11:57.744588,,2024-03-01 10:34:59.872371,2024-03-01,2024-03-02 00:17:57.744588,team_invited,4,0,2.161219377777778,8.422078503055555,13.616075615833333,0.1,,
U00042,2024-10-03,organic,desktop,freemium,2024-10-03 05:06:59.053133,,,2024-10-03 05:12:59.053133,2024-10-03,,profile_completed,2,0,5.116403648055556,0.1,,,,
U00043,2024-09-12,organic,mobile,free_trial,,,,,2024-09-12,,signup,0,0,,,,,,
U00044,2024-05-09,organic,tablet,free_trial,2024-05-09 01:33:45.732324,2024-05-10 23:16:49.686735,,2024-05-09 02:39:28.671201,2024-05-09,2024-05-15 05:17:29.213277,team_invited,4,0,1.5627034233333332,1.0952607991666667,44.622504315,102.010979595,,
U00045,2024-01-25,paid_search,desktop,free_trial,2024-01-25 00:06:00.000000,,,,2024-01-25,,email_verified,1,0,0.1,,,,,
U00046,2024-12-20,organic,desktop,freemium,2024-12-20 03:36:08.375914,,,,2024-12-20,,email_verified,1,0,3.602326642777778,,,,,
U00047,2024-06-11,referral,desktop,freemium,2024-06-11 02:07:49.010075,,,2024-06-11 02:13:49.010075,2024-06-11,,profile_completed,2,0,2.130280576388889,0.1,,,,
